PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17500;20097;4159 VEINTE DE JULIO 1 E2 | VEINTE DE JULIO 1 E2;A8:A1:59:78:74:4F
300000;300000;4174-NVA PRINCIPAL BARRANCA E2 | NVA PRINCIPAL BARRANCA E2;9C:6B:00:46:F4:7E
17510;20064;4178 POPULAR E2  | POPULAR E2;D8:BB:C1:95:CE:37
19007;300006;4342-ÉXITO VIVA | EXITO VIVA;BC:0F:F3:6E:E4:AE
17503;20076;4380 HIERBABUENA | HIERBABUENA;30:9C:23:28:19:A0
16295;19941;4385 CLINICA MARTHA | CLINICA MARTHA ;30:9C:23:9A:7C:9B
300004;300012;4412-MODULO OASIS | MODULO OASIS ;0:00:00
300588;302736;4432 MODULO BONANZA | MODULO BONANZA;1C:69:7A:1C:0C:98
300009;300019;4455-TAT SP1123532019 EPUENTES   | TAT SP1123532019 EPUENTES;BC:0F:F3:8C:0F:94
18741;21210;4463 TAT SP1121961333DTUNJANO | TAT SP1121961333DTUNJANO;CC:47:40:83:03:D1
18741;302719;4463 TAT SP1121961333DTUNJANO | TAT SP1121961333DTUNJANO;BC:0F:F3:6B:05:E1
300007;300015;4464-MODULO REMOLINOS 2 | MODULO REMOLINOS 2;D0:AD:08:1C:73:14
19011;21196;4476-TAT SP30081607JMORA | TAT SP30081607JMORA;D0:AD:08:1C:73:05
300550;302704;4510-TATSP40328653MPINEDA | TATSP40328653MPINEDA;A8:B1:3B:7A:8A:AE
300560;302711;4554 - TAT SP40205935MBERNAL | TAT SP40205935MBERNAL;BC:0F:F3:8C:0E:0D
300589;302737;4556 TAT SP1125548639LTABACO | SP1125548639LTABACO;84:A9:3E:07:D8:36
300620;302778;4558 TAT SP1122118523LRONDON |  SP1122118523LRONDON;A8:B1:3B:7A:89:0B
300585;302733;4559 TAT SP1084728774JQUINTERO | TAT SP1084728774JQUINTERO;D0:AD:08:1C:72:DB
300590;302738;4568 TAT SP1029984261LCANTOR | TAT SP1029984261LCANTOR;84:69:93:6D:03:EA
300626;302786;4585 TAT SP1123513703JDIAZ | TAT SP1123513703JDIAZ;F8:B4:6A:B1:93:B3
300615;302755;4589 TAT SP1122648762MMONTOYA | SP1122648762MMONTOYA;54:B2:03:F2:CB:90
300614;302753;4595 MODULO SAN ISIDRO ARIARI | MODULO SAN ISIDRO ARIARI;9C:6B:00:37:1E:0A
17493;;726 MANUELA BELTRAN | MANUELA BELTRAN;30:9C:23:DC:66:B2
17223;21132;AEROPUERTO Z | AEROPUERTO Z1;30:9C:23:9A:7C:C0
17868;20230;AGUAS CLARAS | AGUAS CLARAS;D8:BB:C1:DE:B1:95
17872;20197;ALCALDIA LEJANIAS | ALCALDIA LEJANIAS;A8:A1:59:B0:D7:B9
17729;20225;ALCARAVAN | ALCARAVAN;30:9C:23:28:19:BA
16443;20378;ALCARAVAN RESTREPO | ALCARAVAN RESTREPO ;30:9C:23:DC:22:11
17227;21085;ALKOSTO | ALKSOTO;00:D8:61:03:20:DD
17880;21191;ALMACEN LUDIZ | LUDIZ;4C:CC:6A:D7:11:DA
